phase,step,x_m,y_m,gap_imputed,grid_interpolated
history,0,-1702.937,-85.164,False,True
history,1,-1648.32,-74.601,False,True
history,2,-1592.23,-62.903,False,True
history,3,-1536.652,-50.838,False,True
history,4,-1483.701,-38.54,False,True
history,5,-1427.194,-26.175,False,True
history,6,-1369.626,-14.578,False,True
history,7,-1312.443,-5.337,False,True
history,8,-1252.744,3.725,False,True
history,9,-1192.086,12.098,False,True
history,10,-1133.014,18.058,False,True
history,11,-1075.017,27.132,False,True
history,12,-1017.581,37.895,False,True
history,13,-960.151,48.659,False,True
history,14,-902.221,56.921,False,True
history,15,-843.68,63.27,False,True
history,16,-781.32,71.865,False,True
history,17,-753.257,75.735,False,True
history,18,-753.257,75.735,False,True
history,19,-753.257,75.735,False,True
history,20,-703.075,74.334,False,True
history,21,-602.705,71.532,False,True
history,22,-502.342,68.73,False,True
history,23,-401.973,65.916,False,True
history,24,-301.609,63.114,False,True
history,25,-238.452,51.35,False,True
history,26,-179.423,38.596,False,True
history,27,-120.4,25.831,False,True
history,28,-59.687,12.698,False,True
history,29,0.0,0.0,False,True
future,0,56.579,-11.542,False,True
future,1,115.318,-24.552,False,True
future,2,175.054,-38.396,False,True
future,3,235.078,-53.084,False,True
future,4,295.103,-67.762,False,True
future,5,355.038,-82.418,False,True
future,6,413.21,-96.539,False,True
future,7,471.382,-110.661,False,True
future,8,529.554,-124.772,False,True
future,9,587.726,-138.894,False,True
future,10,646.158,-152.47,False,True
future,11,704.898,-165.391,False,True
future,12,763.643,-178.312,False,True
future,13,822.865,-191.8,False,True
future,14,883.216,-206.622,False,True
future,15,942.058,-220.711,False,True
future,16,988.83,-231.83,False,True
future,17,988.83,-231.83,False,True
future,18,988.83,-231.83,False,True
future,19,998.184,-234.054,False,True
future,20,1185.272,-278.532,False,True
future,21,1302.298,-305.352,False,True
future,22,1359.022,-317.117,False,True
future,23,1359.022,-317.117,False,True
future,24,1401.925,-327.536,False,True
future,25,1487.738,-348.385,False,True
future,26,1573.551,-369.245,False,True
future,27,1651.222,-387.659,False,True
future,28,1709.914,-400.424,False,True
future,29,1768.605,-413.178,False,True
