phase,step,x_m,y_m,gap_imputed,grid_interpolated
history,0,-1417.354,-1613.661,False,True
history,1,-1376.219,-1555.272,False,True
history,2,-1335.263,-1496.45,False,True
history,3,-1294.306,-1437.628,False,True
history,4,-1250.34,-1378.217,False,True
history,5,-1202.701,-1318.105,False,True
history,6,-1154.794,-1258.804,False,True
history,7,-1128.434,-1226.247,False,False
history,8,-1067.844,-1148.443,False,True
history,9,-1016.583,-1090.433,False,True
history,10,-967.07,-1038.194,False,True
history,11,-916.963,-988.478,False,True
history,12,-861.449,-935.472,False,True
history,13,-807.395,-878.54,False,True
history,14,-756.428,-816.271,False,True
history,15,-717.053,-749.776,False,True
history,16,-680.254,-681.769,False,True
history,17,-648.046,-610.771,False,True
history,18,-614.327,-546.445,False,True
history,19,-569.436,-488.757,False,True
history,20,-510.976,-438.764,False,True
history,21,-450.801,-392.863,False,True
history,22,-393.087,-344.638,False,True
history,23,-339.358,-292.22,False,True
history,24,-292.625,-237.768,False,True
history,25,-267.348,-207.701,False,True
history,26,-196.129,-134.001,False,True
history,27,-129.577,-86.832,False,True
history,28,-65.206,-43.522,False,True
history,29,0.0,0.0,False,True
future,0,58.568,52.384,False,True
future,1,116.537,102.032,False,True
future,2,174.678,147.133,False,True
future,3,232.82,192.234,False,True
future,4,293.601,234.099,False,True
future,5,358.329,271.138,False,True
future,6,416.948,317.562,False,True
future,7,476.001,365.075,False,True
future,8,536.195,413.489,False,True
future,9,600.139,456.889,False,True
future,10,659.842,504.391,False,True
future,11,712.551,558.877,False,True
future,12,766.911,615.497,False,True
future,13,799.635,649.612,False,True
future,14,855.085,716.896,False,True
future,15,912.895,788.828,False,True
future,16,959.501,846.894,False,True
future,17,1006.075,904.215,False,True
future,18,1050.532,961.147,False,True
future,19,1098.828,1015.176,False,True
future,20,1152.263,1065.737,False,True
future,21,1208.549,1122.857,False,True
future,22,1266.836,1178.822,False,True
future,23,1328.58,1231.962,False,True
future,24,1388.698,1281.51,False,True
future,25,1449.607,1327.412,False,True
future,26,1511.963,1368.443,False,True
future,27,1570.461,1416.835,False,True
future,28,1625.809,1469.396,False,True
future,29,1676.732,1527.629,False,True
